day,time,rank,forgo none floor,forgo none u,forgo one floor,forgo one u,forgo two floor,forgo two u,forgo three floor,forgo three u
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.911,Basement,1.6,Third,1.118,Basement,2.909
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.771,First,1.391,Third,0.942,Basement,2.182
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,0.979,First,0.769,Fourth,0.556,First,1.129
Monday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.398,First,1.098,Fourth,0.687,Basement,1.939
Monday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,1.359,Basement,1.533,Basement,0.906,Basement,2.788
Tuesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,2.097,First,1.647,Third,0.921,First,2.419
Tuesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.398,First,1.098,Third,0.658,Basement,1.818
Tuesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.827,Basement,0.933,Basement,0.552,Basement,1.697
Tuesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,1.064,Basement,1.2,Basement,0.709,Basement,2.182
Tuesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.538,First,1.208,Third,0.855,Basement,2.061
Wednesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.775,Basement,1.867,Fourth,1.407,Basement,3.394
Wednesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.491,First,1.171,Third,0.833,First,1.72
Wednesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,1.005,Basement,1.133,Basement,0.67,Basement,2.061
Wednesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.165,Second,1.052,Third,0.921,Second,1.717
Wednesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.221,Basement,1.2,Third,0.964,Basement,2.182
Thursday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.818,First,1.428,Third,1.205,Basement,2.545
Thursday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.054,Basement,1.0,Third,0.833,Basement,1.818
Thursday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,1.005,Basement,1.133,Basement,0.67,Basement,2.061
Thursday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,2.377,First,1.867,Third,1.337,First,2.741
Thursday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.398,Basement,1.4,Third,1.074,Basement,2.545
Friday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Second,1.291,Second,1.343,Fourth,1.047,Second,2.19
Friday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.911,First,1.501,Second,0.975,Basement,2.667
Friday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Second,1.186,Basement,1.333,Fourth,1.015,Basement,2.424
Friday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.771,Basement,1.867,Basement,1.103,Basement,3.394
Friday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,2.004,Basement,2.0,Basement,1.182,Basement,3.636
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.757,Basement,1.436,Third,0.869,Basement,0.673
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.629,First,1.249,Third,0.733,Basement,0.505
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,0.9,First,0.69,Fourth,0.456,Basement,0.224
Monday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.286,First,0.986,Fourth,0.563,Basement,0.448
Monday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,1.202,Basement,1.377,Basement,0.749,Basement,0.645
Tuesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.929,First,1.479,Third,0.716,Basement,0.533
Tuesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.286,First,0.986,Third,0.511,Basement,0.42
Tuesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.732,Basement,0.838,Basement,0.456,Basement,0.392F
Tuesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.941,Basement,1.077,Basement,0.586,Basement,0.505F
Tuesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.414,First,1.084,Third,0.664,Basement,0.477F
Wednesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,1.464,Basement,1.676,Fourth,1.153,Basement,0.785F
Wednesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.371,First,1.051,Third,0.647,Basement,0.392F
Wednesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.889,Basement,1.017,Basement,0.554,Basement,0.477F
Wednesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Third,0.96,Second,0.916,Third,0.716,Basement,0.392F
Wednesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Third,1.006,Basement,1.077,Third,0.75,Basement,0.505F
Thursday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.671,First,1.281,Third,0.937,Basement,0.589F
Thursday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Third,0.869,Basement,0.898,Third,0.647,Basement,0.42F
Thursday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.889,Basement,1.017,Basement,0.554,Basement,0.477F
Thursday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,2.186,First,1.676,Third,1.039,Basement,0.477F
Thursday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.286,Basement,1.257,Third,0.835,Basement,0.589F
Friday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Second,1.118,Second,1.169,Fourth,0.858,Basement,0.505F
Friday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.757,First,1.347,Second,0.783,Basement,0.617F
Friday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,1.045,Basement,1.197,Fourth,0.831,Basement,0.561F
Friday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.629,Basement,1.676,Basement,0.912,Basement,0.785F
Friday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.843,Basement,1.795,Basement,0.977,Basement,0.841
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,2.065,Basement,1.764,Third,1.367,Basement,3.073
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,1.914,First,1.534,Third,1.152,Basement,2.305
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,1.057,First,0.848,Fourth,0.657,First,1.208
Monday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,1.511,First,1.211,Fourth,0.812,Basement,2.048
Monday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,1.516,Basement,1.69,Basement,1.063,Basement,2.945
Tuesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,2.266,First,1.816,Third,1.126,First,2.588
Tuesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,1.511,First,1.211,Third,0.804,Basement,1.92
Tuesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.923,Basement,1.029,Basement,0.647,Basement,1.792
Tuesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,1.186,Basement,1.323,Basement,0.832,Basement,2.305
Tuesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,1.662,First,1.332,Third,1.045,Basement,2.177
Wednesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Third,2.088,Basement,2.058,Third,1.715,Basement,3.585
Wednesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,1.611,First,1.291,Third,1.018,First,1.84
Wednesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,1.12,Basement,1.249,Basement,0.786,Basement,2.177
Wednesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Third,1.37,Second,1.188,Third,1.126,Second,1.853
Wednesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Third,1.435,Basement,1.323,Third,1.179,Basement,2.305
Thursday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,1.964,First,1.574,Third,1.474,Basement,2.689
Thursday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Third,1.24,Basement,1.102,Third,1.018,Basement,1.92
Thursday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,1.12,Basement,1.249,Basement,0.786,Basement,2.177
Thursday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,2.568,First,2.058,Third,1.635,First,2.932
Thursday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Third,1.598,Basement,1.543,Third,1.313,Basement,2.689
Friday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Second,1.465,Second,1.516,Fourth,1.237,Second,2.364
Friday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,2.065,Second,1.68,Second,1.167,Basement,2.817
Friday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Second,1.346,Basement,1.47,Fourth,1.198,Basement,2.561
Friday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,1.914,Basement,2.058,Basement,1.294,Basement,3.585
Friday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",First,2.165,Basement,2.205,Basement,1.386,Basement,3.841
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.757,Basement,1.436,Third,0.869,Basement,0.673
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.629,First,1.249,Third,0.733,Basement,0.505
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,0.9,First,0.69,Fourth,0.456,Basement,0.224
Monday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.286,First,0.986,Fourth,0.563,Basement,0.448
Monday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,1.202,Basement,1.377,Basement,0.749,Basement,0.645
Tuesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.929,First,1.479,Third,0.716,Basement,0.533
Tuesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.286,First,0.986,Third,0.511,Basement,0.42
Tuesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.732,Basement,0.838,Basement,0.456,Basement,0.392
Tuesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.941,Basement,1.077,Basement,0.586,Basement,0.505
Tuesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.414,First,1.084,Third,0.664,Basement,0.477
Wednesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,1.464,Basement,1.676,Fourth,1.153,Basement,0.785
Wednesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.371,First,1.051,Third,0.647,Basement,0.392
Wednesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.889,Basement,1.017,Basement,0.554,Basement,0.477
Wednesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Third,0.96,Second,0.916,Third,0.716,Basement,0.392
Wednesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Third,1.006,Basement,1.077,Third,0.75,Basement,0.505
Thursday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.671,First,1.281,Third,0.937,Basement,0.589
Thursday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Third,0.869,Basement,0.898,Third,0.647,Basement,0.42
Thursday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.889,Basement,1.017,Basement,0.554,Basement,0.477
Thursday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,2.186,First,1.676,Third,1.039,Basement,0.477
Thursday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.286,Basement,1.257,Third,0.835,Basement,0.589
Friday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Second,1.118,Second,1.169,Fourth,0.858,Basement,0.505
Friday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.757,First,1.347,Second,0.783,Basement,0.617
Friday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,1.045,Basement,1.197,Fourth,0.831,Basement,0.561
